,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
381,79.08,04TH AV,BROOKES AV,PENNSYLVANIA AV,Good,20150209,1035,04TH AV,BROOKES AV,0,A,4,A,09,A,A,H
382,85.174,LINDA VISTA RD,FULTON ST,LEVANT ST,Good,20150211,1644,LINDA VISTA RD,FULTON,0,A,4,A,04,A,A,H
383,74.64,ROBINSON AV,VERMONT ST,RICHMOND ST,Good,20150207,1316,ROBINSON AV,RICHMOND ST,0,A,3,A,17,A,A,H
384,95.344,GENESEE AV,GENESEE CV,CALGARY DR,Good,20150225,1500,GENESEE AV,GENESEE AV 4200,0,A,3,A,- ,A,A,H
385,52.772,UNIVERSITY AV,LOUISIANA ST,TEXAS ST,Fair,20150210,0707,UNIVERSITY AV,TEXAS ST,0,A,3,A,08,-,A,H
386,87.584,TOWNE CENTRE DR,TOWNE CENTRE CT,WESTERRA CT,Good,20150210,2134,TOWNE CENTRE DR,TOWN CENTER GATEWAY 9100,0,A,4,A,04,C,A,H
387,83.436,CARMEL MTN RD,CARMEL COUNTRY RD,LAUREL CHASE DR,Good,20150210,2215,CARMEL MOUNTAIN RD,CARMEL MOUNTAIN RD 12400,0,A,3,A,09,C,A,H
388,73.066,BALBOA AV,MERCURY ST,KEARNY VILLA RD,Good,20150209,1615,BALBOA AV,KEARNY VILLA RD,0,A,4,A,04,A,A,H
389,59.172,COLLEGE AV,DEL CERRO BL,LAMBDA DR,Fair,20150218,1622,COLLEGE AV,DEL CERRO BL,0,A,4,A,03,A,A,H
390,11.21,69TH ST,EL CAJON BL,MOHAWK ST,Poor,20150224,0637,69TH ST,EL CAJON BL,0,A,4,A,09,A,A,H
391,90.558,WARDLOW AV,BANDOLIER LN,VALENTINO ST,Good,20150202,1351,WARDLOW AV,VALENTINO,0,A,3,A,08,A,A,H
392,87.02,FRIARS RD,NORTHSIDE DR,FRIARS RD RA,Good,20150221,1157,FRIARS RD,NSIDE DR,0,A,4,A,03,A,A,H
393,75.656,WARING RD,BIRCHWOOD ST,ELDRIDGE ST,Good,20150128,0736,WARING RD,ELDRIDGE ST 7030,0,A,2,A,10,A,A,H
394,91.764,CARMEL COUNTRY RD,CARMEL CANYON RD,CARMEL MISSION RD,Good,20150302,0917,CARMEL COUNTRY RD,CARMEL CANYON RD,0,B,4,A,03,A,A,H
395,77.032,GILMAN DR,LA JOLLA VILLAGE DR,LA JOLLA VILLAGE DR RA,Good,20150206,1730,GILMAN DR,LA JOLLA VILLAGE DR,S,A,0,A,07,C,A,H
396,83.18,VEREDA MAR DEL CORAZ,CARMEL MTN RD,CTE MAR DEL CORAZON,Good,20150303,0650,VEREDA MAR DE CORAZON,CARMEL MTN RD,S,A,0,A,12,A,A,H
397,82.48,DEL SUR BL,AGOSTO ST,MARZO ST,Good,20150227,1945,DEL SUR BL,MARZO ST,0,B,3,A,08,C,A,H
398,91.494,IMPERIAL AV,54TH ST,55TH ST,Good,20150226,1719,IMPERIAL AV,54TH ST,0,A,4,A,00,A,A,H
399,94.684,MAIN ST,THOR ST,UNA ST,Good,20150228,2030,MAIN ST,HOLLISTER ST,0,B,4,A,12,C,B,D
400,78.008,DAIRY MART RD,BEYER BL,PLANTEL WY,Good,20150227,2245,DAIRY MAI-RD,BEYER BL,0,B,4,-,- ,C,B,H
401,87.32,S WOODMAN ST,PARADISE HILLS RD,PARADISE VALLEY RD,Good,20150226,1810,S WOODMAN ST,PARADISE VALLEY RD,0,A,4,A,03,C,A,H
402,87.904,MARCWADE DR,PETERLYNN DR,TWINING AV,Good,20150223,0732,MARCWADE DR,PETERLYNN DR,0,A,3,A,09,A,A,H
403,80.014,SAN PASQUAL ST,OCEAN VIEW BL,LOGAN AV,Good,20150227,1842,SAN PAQUAL ST,LOGAN AV,0,A,3,A,11,C,A,H
