,OBJECTID,COMMON_NAM,DESIG_USE,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,USE_RESTRI,DEDIC_PARK,FULL_NAME,SERV_DIST,UNDEVE,PLAYGROUND,TOT_LOT,BASEB_50_6,BASEB_90,SOFTBALL,MULTIPURP,F_2_BASLET,BASKETB,TENNISCT,SAND_VBALL,FIELD_LIGH,COMFORT_ST,CONCESS_ST,USEABLE_AC,GROSS_ACRE,MAINT_ENT,RECY_WATER,PLAYAREACO,CD,DMS,X_COORD,Y_COORD,YEARACQ,SHAPE_STAR,SHAPE_STLE
34,4016,OLIVE GROVE CP,Community Park,9.17615677,"6075 Printwood Way, 92117",1248J2,CLAIREMONT MESA,DEDIC PK/OS--ORD.,Y,Olive Grove Community Park,44.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CP1,N,1.0,6,32 49 35.46881N 117 10 15.61199W,-117.17100333,32.82651911,1948,399711.791992188,2517.86438087339
35,4017,SERRA MESA CP,Community Park,19.7108147,"9020 Village Glen Drive, 92123",1249D4,SERRA MESA,DEDIC PK/OS--ORD.,Y,Serra Mesa Community Park,45.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CP1,N,1.0,7,32 48 26.67091N 117 07 59.17725W,-117.13310479,32.80740859,1947-1964,858599.653320313,5907.3306201082
36,4018,PACIFIC BEACH CP,Community Park,1.66234465,"1405 Diamond Street, 92109",1247J5,PACIFIC BEACH,DEDIC PK/OS--ORD.,Y,Pacific Beach Community Park,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,CP1,N,1.0,2,32 48 05.01848N 117 14 40.94453W,-117.24470681,32.80139402,1942-1947,72411.443359375,1078.66933175936
37,4019,ALLIED GARDENS CP,Community Park,13.80595869,"5155 Greenbrier Ave., 92120",1250A5,NAVAJO,DEDIC PK/OS--ORD.,Y,Allied Gardens Community Park,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,1.0,7,32 47 42.21516N 117 04 51.69524W,-117.08102646,32.79505977,1958-1965,601385.158203125,4536.48072850752
38,4020,LAKE MURRAY CP,Community Park,39.97055973,"6308 PARK RIDGE BLVD, 92120",1250E6,NAVAJO,DEDIC PK/OS--ORD.,Y,Lake Murray Community Park,45.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,CP1,N,1.0,7,32 47 26.88658N 117 02 48.90778W,-117.04691883,32.79080183,1947,1741110.61328125,9602.72172271747
39,4021,SAN CARLOS CP,Community Park,9.78882995,"6445 Lake Badin Ave., 92119",1250H5,NAVAJO,DEDIC PK/OS--ORD.,Y,San Carlos Community Park,45.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CP1,N,1.0,7,32 47 55.12525N 117 01 16.13407W,-117.02114835,32.7986459,1961-1976,426399.728515625,2651.79404428549
40,4022,OCEAN BEACH GATEWAY,Community Park,0.21608061,"2300 SUNSET CLIFFS BLVD, 92107",1268A5,OCEAN BEACH,NONE,N,Ocean Beach Gateway Mini-Park,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,0.0,2,32 45 04.62901N 117 14 32.20560W,-117.24227933,32.75128584,NA,9412.4306640625,421.08268235685
41,4023,TECOLOTE CP,Community Park,19.67073826,"1701 TECOLOTE RD, 92110",1268G1,LINDA VISTA,DEDIC PK/OS--ORD.,Y,Tecolote Community Park,44.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CP1,N,1.0,2,32 46 26.99261N 117 11 58.41653W,-117.19956015,32.77416461,1953,856853.93359375,7833.30309436056
42,4024,CADMAN CP,Community Park,8.34885456,"4280 Avati Drive, 92117",1248D3,CLAIREMONT MESA,DEDIC PK/OS--ORD.,Y,Cadman Community Park,44.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,CP1,N,1.0,2,32 49 13.91881N 117 12 57.16751W,-117.21587986,32.820533,1964-1976,363674.651367188,3357.72757520167
43,4025,N CLAIREMONT CP,Community Park,14.49774928,"4421 Bannock Avenue, 92117",1248F1,CLAIREMONT MESA,DEDIC PK/OS--ORD.,Y,North Clairemont Community Park,44.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,CP1,N,1.0,6,32 49 53.61000N 117 11 48.41461W,-117.19678184,32.83155833,1954,631519.432617188,3613.76852044907
