"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
3477,MTS_60084,MTS,60084,Tocayo Av & Hollister St,32.56378066,-117.08342936,60084,0,,1,F-E/B,,-117.083417481659,32.5637759180302
3478,MTS_60085,MTS,60085,Main St & Hollister St,32.59470669,-117.08218891,60085,0,,1,M-Street-E/B,,-117.082177035384,32.5947019438358
3479,MTS_60086,MTS,60086,Coronado Av & 25th St,32.57637529,-117.07919527,60086,0,,1,F-E/B,,-117.079183391045,32.5763705398089
3480,MTS_60087,MTS,60087,Palm Av & Desty St,32.58386936,-117.07689583,60087,0,,0,F-E/B,,-117.076883948068,32.5838646098869
3481,MTS_60088,MTS,60088,Iris Av & 27th St,32.56908411,-117.07502409,60088,0,,1,M-Street-E/B,,-117.075012211805,32.5690793651702
3482,MTS_60089,MTS,60089,Coronado Av & Madden Av,32.5763946,-117.07056738,60089,0,,1,F-E/B,,-117.070555499786,32.5763898562525
3483,MTS_60090,MTS,60090,Palm Av & Beyer Bl,32.58370573,-117.07054119,60090,0,,1,F-E/B,,-117.070529318016,32.5837009771644
3484,MTS_60091,MTS,60091,Iris Av & Monterey Park Dr,32.56907485,-117.06982746,60091,0,,1,F-E/B,,-117.06981558646,32.5690700997936
3485,MTS_60094,MTS,60094,Palm Av & Hawaii Av,32.58370625,-117.06591191,60094,0,,1,F-E/B,,-117.065900037185,32.5837015010723
3486,MTS_60095,MTS,60095,Palm Av & Beyer Wy,32.58365054,-117.06144768,60095,0,,1,F-E/B,beypal,-117.061435802075,32.5836457947696
3487,MTS_60098,MTS,60098,Palm Av & Grissom St,32.58363461,-117.05508146,60098,0,,1,F-E/B,,-117.055069584656,32.5836298592647
3488,MTS_60099,MTS,60099,Del Sol Bl & Picador Bl,32.57329968,-117.05350056,60099,0,,1,F-E/B,,-117.05348869033,32.573294933555
3489,MTS_60100,MTS,60100,Del Sol Bl & Piccard Av,32.5735486,-117.0494616,60100,0,,2,F-E/B,,-117.049449727678,32.5735438493012
3490,MTS_60101,MTS,60101,Del Sol Bl & Twining Av,32.57352196,-117.0450858,60101,0,,2,F-E/B,,-117.045073925626,32.5735172109422
3491,MTS_60102,MTS,60102,Silver Strand Bl & Rainbow Dr,32.58661201,-117.12080715,60102,0,,1,F-W/B,,-117.120795270541,32.5866072623723
3492,MTS_60103,MTS,60103,3rd St & I Av,32.69874606,-117.1805199,60103,0,,1,N-W/B,3rdi,-117.180507993052,32.6987413011113
3493,MTS_60105,MTS,60105,Pomona Av & 3rd St,32.69449947,-117.17101951,60105,0,,1,N-W/B,,-117.171007608111,32.6944947106039
3494,MTS_60106,MTS,60106,Pomona Av & Glorietta Pl,32.6931356,-117.17036493,60106,0,,1,N-W/B,,-117.170353030656,32.6931308372663
