,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
15093,Redwood Village-Rolando Park,477.0,1.0,2017-05-03 00:03:00,32.75204030763895-117.0668447794372,0.0,32.752040307600005,-117.066844779,Closed,0.0,0.0,2017-04-18 06:10:00,Pothole,Pothole,Closed,353.88333333333327,0.0
15101,City Heights,583.0,1.0,2017-04-18 00:03:00,32.75393034257405-117.12013345700836,1.0,32.7539303426,-117.12013345700001,Closed,0.0,0.0,2017-04-14 15:30:00,Pothole,Pothole,Closed,80.55,0.0
15102,City Heights,584.0,1.0,2017-04-18 00:03:00,32.75393034257405-117.12013345700836,1.0,32.7539303426,-117.12013345700001,Closed,0.0,0.0,2017-04-14 15:30:00,Pothole,Pothole,Closed,80.55,0.0
15103,Redwood Village-Rolando Park,615.0,1.0,2017-05-03 00:03:00,32.74256135158208-117.07479664129507,0.0,32.742561351599996,-117.074796641,Closed,0.0,1.0,2017-04-13 17:25:00,Pothole,Pothole,Closed,462.63333333333327,0.0
15106,Fox Canyon,648.0,1.0,2017-04-18 00:03:00,32.7458732-117.09233710000001,1.0,32.7458732,-117.09233710000001,Closed,0.0,0.0,2017-04-12 22:45:00,Pothole,Pothole,Closed,121.3,0.0
15108,City Heights,678.0,1.0,2017-04-18 00:03:00,32.743314-117.115398,1.0,32.743314,-117.115398,Closed,0.0,0.0,2017-04-12 15:16:00,Pothole,Pothole,Closed,128.78333333333333,0.0
15112,City Heights,712.0,1.0,2017-04-25 00:02:00,32.744128415470605-117.11565646954207,0.0,32.7441284155,-117.11565647,Closed,0.0,1.0,2017-04-12 10:00:00,Pothole,Pothole,Closed,302.03333333333336,0.0
15120,Fox Canyon,1003.0,1.0,2017-04-18 00:03:00,32.74596235008946-117.08950622629858,0.0,32.7459623501,-117.089506226,Closed,0.0,0.0,2017-04-07 15:00:00,Pothole,Pothole,Closed,249.05,0.0
15129,Fairmont Village,1095.0,1.0,2017-04-18 00:03:00,32.74959049807617-117.09709850793456,0.0,32.7495904981,-117.09709850799999,Closed,0.0,0.0,2017-04-06 10:15:00,Pothole,Pothole,Closed,277.8,0.0
15130,City Heights,1104.0,1.0,2017-04-19 00:03:00,32.7387-117.101059,0.0,32.7387,-117.101059,Closed,0.0,1.0,2017-04-06 08:46:00,Pothole,Pothole,Closed,303.28333333333336,0.0
15133,City Heights,1209.0,1.0,2017-05-03 00:03:00,32.745635991830014-117.10993318481445,0.0,32.7456359918,-117.109933185,Closed,0.0,0.0,2017-04-04 03:59:00,Pothole,Pothole,Closed,692.0666666666667,0.0
15136,City Heights,1230.0,1.0,2017-04-19 00:03:00,32.738019569201995-117.10122136993408,0.0,32.7380195692,-117.10122137,Closed,0.0,0.0,2017-04-03 15:49:00,Pothole,Pothole,Closed,368.23333333333335,0.0
15137,Fairmont Village,1235.0,1.0,2017-04-06 00:03:00,32.7494939-117.09590980000002,1.0,32.749493900000004,-117.0959098,Closed,0.0,0.0,2017-04-03 14:46:00,Pothole,Pothole,Closed,57.28333333333333,0.0
15143,Redwood Village-Rolando Park,1280.0,1.0,2017-04-05 00:02:00,32.750296-117.053661,0.0,32.750296,-117.053661,Closed,0.0,0.0,2017-04-02 18:36:00,Pothole,Pothole,Closed,53.43333333333334,0.0
15155,City Heights,1349.0,1.0,2017-04-18 00:02:00,32.74890983600565-117.1212900958069,0.0,32.748909835999996,-117.12129009600001,Closed,0.0,0.0,2017-03-31 17:58:00,Pothole,Pothole,Closed,414.06666666666666,0.0
15158,Fox Canyon,1376.0,1.0,2017-04-19 00:04:00,32.74939-117.088037,1.0,32.749390000000005,-117.08803700000001,Closed,0.0,0.0,2017-03-31 13:09:00,Pothole,Pothole,Closed,442.91666666666674,0.0
15161,City Heights,1391.0,1.0,2017-05-03 00:03:00,32.747558-117.107907,1.0,32.747558000000005,-117.10790700000001,Closed,0.0,0.0,2017-03-31 08:24:00,Pothole,Pothole,Closed,783.65,0.0
15162,City Heights,1392.0,1.0,2017-05-03 00:03:00,32.747558-117.107907,0.0,32.747558000000005,-117.10790700000001,Closed,0.0,0.0,2017-03-31 08:23:00,Pothole,Pothole,Closed,783.6666666666665,0.0
15164,City Heights,1400.0,1.0,2017-05-03 00:03:00,32.7414452-117.10607290000002,0.0,32.7414452,-117.1060729,Closed,0.0,0.0,2017-03-31 06:29:00,Pothole,Pothole,Closed,785.5666666666667,0.0
15168,City Heights,1429.0,1.0,2017-04-19 00:04:00,32.737415-117.102326,0.0,32.73741500000001,-117.102326,Closed,0.0,0.0,2017-03-30 14:56:00,Pothole,Pothole,Closed,465.13333333333327,0.0
