,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
49230,Assigned,In process,0,0,2017-01-22T11:44:00,,1,0,Pothole,32.91649166666667-117.127,32.916491666700004,-117.12700000000001,Pothole
49248,Assigned,In process,0,0,2017-01-22T11:16:00,,1,0,Pothole,32.7433624-117.1674337,32.7433624,-117.1674337,Pothole
49253,Assigned,In process,0,0,2017-01-22T11:08:00,,1,0,Pothole,32.8400928-117.249858,32.8400928,-117.249858,Pothole
49268,Assigned,In process,0,1,2017-01-22T10:25:00,,1,0,Pothole,32.92427226813044-117.1355162227837,32.9242722681,-117.135516223,Pothole
49294,Assigned,In process,0,1,2017-01-22T09:35:00,,1,0,Pothole,33.083876-117.031347,33.083876000000004,-117.031347,Pothole
49298,Assigned,In process,0,0,2017-01-22T09:32:00,,1,0,Pothole,33.088492-117.021502,33.088491999999995,-117.021502,Pothole
49376,Assigned,In process,0,0,2017-01-21T21:15:00,,1,0,Pothole,32.7497395-117.1106581,32.749739500000004,-117.1106581,Pothole
49442,Assigned,In process,0,1,2017-01-21T17:10:00,,1,0,Pothole,32.80172528702095-117.2233072948802,32.801725287,-117.223307295,Pothole
49494,Assigned,In process,0,0,2017-01-21T15:39:00,,1,0,Pothole,32.79868885713716-117.23658235122583,32.798688857100004,-117.23658235100001,Pothole
49506,Assigned,In process,0,0,2017-01-21T15:26:00,,1,0,Pothole,32.8263955749877-117.1831319947887,32.826395575,-117.183131995,Pothole
49508,Assigned,In process,0,0,2017-01-21T15:25:00,,1,0,Pothole,32.75792401752691-117.1099026595402,32.7579240175,-117.10990266,Pothole
49527,Assigned,In process,0,1,2017-01-21T15:00:00,,1,0,Pothole,32.827469-117.098565,32.827469,-117.098565,Pothole
49543,Assigned,In process,1,1,2017-01-21T14:23:00,,1,0,Pothole,32.82212595924067-117.1490233485747,32.8221259592,-117.14902334899999,Pothole
49556,Assigned,In process,0,1,2017-01-21T13:54:00,,1,0,Pothole,32.91292-117.143798,32.91292,-117.143798,Pothole
49685,Assigned,In process,0,0,2017-01-21T10:28:00,,1,0,Pothole,32.92157-117.1357333333333,32.92157,-117.13573333299999,Pothole
